settlement_id,district,split,fold_id
S0000,KotaKinabalu,train,3
S0004,Pitas,validate,-1
S0007,Pitas,validate,-1
S0009,Kudat,train,3
S0010,Kudat,train,3
S0011,Kudat,train,3
S0012,Kudat,train,3
S0015,KotaMarudu,train,2
S0016,KotaMarudu,train,2
S0017,KotaMarudu,train,2
S0018,Pitas,train,4
S0019,Pitas,train,4
S0020,Pitas,train,4
S0021,Kudat,validate,-1
S0022,Kudat,validate,-1
S0023,Beluran,train,4
S0024,Tuaran,train,4
S0026,Beluran,train,4
S0028,Ranau,validate,-1
S0029,Ranau,validate,-1
S0030,Ranau,train,0
S0033,KotaMarudu,train,2
S0034,KotaMarudu,train,2
S0035,Beluran,train,4
S0036,KotaBelud,train,2
S0037,KotaMarudu,validate,-1
S0038,KotaBelud,train,2
S0040,KotaBelud,train,2
S0041,KotaBelud,validate,-1
S0042,Keningau,train,1
S0044,Keningau,validate,-1
S0045,Beluran,validate,-1
S0048,Ranau,train,0
S0049,Keningau,train,1
S0050,Tuaran,train,4
S0051,Keningau,train,1
S0052,Tuaran,validate,-1
S0053,Keningau,validate,-1
S0054,Ranau,train,0
S0055,Keningau,validate,-1
S0056,Ranau,train,0
S0057,Keningau,train,1
S0058,Ranau,validate,-1
S0059,Keningau,validate,-1
S0060,Ranau,train,0
S0062,Keningau,train,1
S0063,Ranau,train,0
S0066,Tongod,validate,-1
S0069,Putatan,train,2
S0070,Papar,train,2
S0072,Papar,train,2
S0073,Papar,train,2
S0074,Papar,train,2
S0075,Ranau,train,0
S0076,Ranau,validate,-1
S0077,Ranau,train,0
S0078,Ranau,train,0
S0079,Tambunan,train,3
S0080,Tambunan,train,3
S0081,Tambunan,validate,-1
S0082,KualaPenyu,train,2
S0083,Beaufort,train,3
S0084,Beaufort,train,3
S0085,KualaPenyu,train,2
S0086,Beaufort,train,3
S0087,Tenom,train,3
S0088,Beaufort,train,3
S0089,Beaufort,train,3
S0090,Papar,train,2
S0091,Papar,train,2
S0092,Papar,train,2
S0093,Papar,train,2
S0094,Beaufort,train,3
S0095,Beaufort,train,3
S0096,Tenom,train,3
S0098,Sipitang,train,4
S0099,Sipitang,train,4
S0101,Sipitang,train,4
S0102,Nabawan,train,4
S0104,Sipitang,train,4
S0105,Tenom,train,3
S0107,Beaufort,train,3
S0109,Sipitang,train,4
S0111,Tenom,train,3
S0113,Beaufort,train,3
S0114,Keningau,train,1
S0115,Beaufort,train,3
S0116,Nabawan,train,4
S0117,Beaufort,validate,-1
S0118,Nabawan,train,4
S0119,Beaufort,train,3
S0121,Nabawan,validate,-1
S0124,Sipitang,validate,-1
S0125,Sipitang,validate,-1
S0126,Beluran,train,4
S0130,Nabawan,validate,-1
S0131,KotaKinabalu,train,3
S0132,Tuaran,train,4
S0133,Tuaran,validate,-1
S0134,KotaKinabalu,train,3
S0135,KualaPenyu,train,2
S0137,KotaBelud,validate,-1
S0138,Tuaran,train,4
S0139,Tuaran,train,4
S0140,Tuaran,train,4
S0141,Tuaran,train,4
S0145,Tongod,validate,-1
S0149,KualaPenyu,train,2
S0150,KualaPenyu,train,2
S0151,Tongod,validate,-1
S0152,Beaufort,train,3
S0153,Tenom,train,3
S0154,Keningau,train,1
S0155,Tambunan,train,3
S0156,Papar,train,2
S0157,Beluran,validate,-1
S0158,Sipitang,train,4
S0159,KualaPenyu,train,2
S0160,KualaPenyu,train,2
S0162,Nabawan,validate,-1
S0164,Tongod,train,3
S0165,Kudat,train,3
S0166,Pitas,train,4
S0168,Ranau,train,0
S0169,KotaBelud,train,2
S0170,Penampang,train,2
S0171,Pitas,train,4
S0172,Kudat,train,3
S0173,KotaMarudu,train,2
S0174,Tawau,train,3
S0175,Sandakan,train,2
S0176,Semporna,train,4
S0177,LahadDatu,train,1
S0178,Tuaran,validate,-1
S0179,KotaBelud,train,2
S0180,KualaPenyu,validate,-1
S0181,Beluran,train,4
S0182,Kinabatangan,train,1
S0183,Kinabatangan,train,1
S0184,Ranau,train,0
S0185,Tuaran,train,4
S0186,Beaufort,train,3
S0187,Beaufort,train,3
S0188,Beaufort,train,3
S0189,Beaufort,train,3
S0190,Beaufort,train,3
S0191,Beaufort,train,3
S0192,KotaBelud,validate,-1
S0193,Sandakan,train,2
S0194,Sandakan,train,2
S0195,Sandakan,train,2
S0196,Sandakan,train,2
S0197,Sandakan,train,2
S0198,Sandakan,train,2
S0199,Sandakan,train,2
S0200,Sandakan,train,2
S0201,Kudat,train,3
S0202,Kinabatangan,train,1
S0203,Sandakan,train,2
S0205,Sandakan,validate,-1
S0207,Kinabatangan,validate,-1
S0208,KotaKinabalu,train,3
S0209,Sandakan,train,2
S0210,Sandakan,train,2
S0211,Sandakan,train,2
S0212,Sipitang,train,4
S0213,KotaBelud,train,2
S0214,KotaBelud,train,2
S0215,KotaBelud,train,2
S0216,KotaBelud,train,2
S0217,KotaKinabalu,train,3
S0218,Penampang,train,2
S0219,Tawau,train,3
S0220,KotaMarudu,validate,-1
S0221,Papar,train,2
S0222,Sandakan,train,2
S0223,Sandakan,train,2
S0224,Kinabatangan,train,1
S0225,Kinabatangan,train,1
S0226,Sandakan,train,2
S0227,Sandakan,train,2
S0229,Beluran,train,4
S0230,Kinabatangan,train,1
S0231,Tongod,train,3
S0232,Beluran,train,4
S0233,Sandakan,train,2
S0234,Papar,train,2
S0235,Papar,train,2
S0239,Beaufort,validate,-1
S0240,Tuaran,validate,-1
S0241,Tuaran,train,4
S0242,KotaMarudu,validate,-1
S0243,KotaMarudu,train,2
S0244,KotaMarudu,validate,-1
S0245,Ranau,train,0
S0246,Papar,train,2
S0247,Papar,train,2
S0248,Papar,train,2
S0249,Papar,train,2
S0250,Papar,train,2
S0251,Papar,train,2
S0252,Papar,train,2
S0253,Papar,train,2
S0254,Papar,train,2
S0255,KualaPenyu,train,2
S0256,KualaPenyu,train,2
S0257,KualaPenyu,train,2
S0258,Beaufort,train,3
S0259,Beaufort,train,3
S0260,Kinabatangan,validate,-1
S0261,Kinabatangan,train,1
S0262,Kinabatangan,train,1
S0263,Pitas,validate,-1
S0265,Tongod,validate,-1
S0266,Tongod,validate,-1
S0267,Tongod,validate,-1
S0269,Nabawan,validate,-1
S0272,Tawau,train,3
S0273,KotaMarudu,train,2
S0274,KotaBelud,train,2
S0275,KotaBelud,train,2
S0276,KotaBelud,train,2
S0277,KotaBelud,train,2
S0279,Kudat,train,3
S0280,Kudat,train,3
S0281,KotaBelud,train,2
S0282,Kinabatangan,validate,-1
S0284,Ranau,train,0
S0285,Ranau,validate,-1
S0287,Ranau,train,0
S0289,Ranau,validate,-1
S0290,Ranau,train,0
S0291,Ranau,train,0
S0293,Ranau,train,0
S0294,Ranau,train,0
S0295,Ranau,train,0
S0296,Ranau,train,0
S0297,Ranau,train,0
S0298,Papar,train,2
S0300,Putatan,train,2
S0301,Kunak,train,4
S0302,Beluran,train,4
S0307,KotaBelud,train,2
S0308,Tawau,validate,-1
S0309,Tawau,train,3
S0310,Kinabatangan,validate,-1
S0311,Sipitang,train,4
S0312,Keningau,validate,-1
S0313,Keningau,validate,-1
S0314,Keningau,validate,-1
S0315,KotaBelud,train,2
S0316,KotaBelud,train,2
S0317,KotaBelud,train,2
S0318,KotaBelud,train,2
S0319,KotaBelud,train,2
S0320,KotaBelud,train,2
S0321,KotaBelud,train,2
S0322,KotaBelud,train,2
S0323,KotaBelud,train,2
S0324,KotaBelud,train,2
S0325,KotaBelud,train,2
S0326,KotaBelud,train,2
S0327,KotaBelud,train,2
S0328,KotaBelud,train,2
S0329,KotaBelud,validate,-1
S0330,KotaBelud,train,2
S0331,KotaBelud,train,2
S0332,KotaBelud,train,2
S0333,KotaBelud,train,2
S0334,KotaBelud,train,2
S0335,KotaBelud,train,2
S0336,KotaBelud,train,2
S0337,KotaBelud,train,2
S0338,KotaBelud,train,2
S0339,KotaBelud,train,2
S0340,KotaBelud,train,2
S0341,KotaBelud,train,2
S0342,KotaBelud,validate,-1
S0343,KotaBelud,train,2
S0344,KotaBelud,train,2
S0345,KotaBelud,train,2
S0346,KotaBelud,train,2
S0348,KotaBelud,train,2
S0349,KotaBelud,train,2
S0350,KotaBelud,train,2
S0351,KotaBelud,train,2
S0352,KotaBelud,train,2
S0353,KotaBelud,validate,-1
S0354,KotaBelud,train,2
S0355,Ranau,train,0
S0356,Tuaran,train,4
S0357,KotaBelud,train,2
S0358,Nabawan,validate,-1
S0359,Nabawan,train,4
S0360,KotaBelud,train,2
S0361,KotaBelud,train,2
S0362,KotaBelud,train,2
S0363,KotaBelud,train,2
S0364,KotaBelud,validate,-1
S0365,KotaBelud,validate,-1
S0366,KotaBelud,train,2
S0367,Tuaran,train,4
S0368,Tuaran,validate,-1
S0369,Tuaran,validate,-1
S0370,Tuaran,train,4
S0371,Tuaran,train,4
S0372,KotaBelud,train,2
S0373,Tuaran,train,4
S0374,Beluran,validate,-1
S0375,Ranau,validate,-1
S0377,KotaMarudu,train,2
S0378,KotaMarudu,train,2
S0379,KotaMarudu,train,2
S0380,KotaMarudu,train,2
S0383,KotaMarudu,train,2
S0384,KotaMarudu,train,2
S0386,Pitas,train,4
S0387,Beluran,train,4
S0388,Beluran,validate,-1
S0389,Beluran,train,4
S0390,Beluran,train,4
S0391,Beluran,validate,-1
S0392,Beluran,validate,-1
S0393,KotaBelud,train,2
S0394,KotaBelud,validate,-1
S0395,KotaBelud,train,2
S0396,KotaBelud,train,2
S0397,Beluran,train,4
S0399,Beluran,train,4
S0400,Beluran,train,4
S0401,Beluran,train,4
S0402,Beluran,train,4
S0403,KotaBelud,train,2
S0404,KotaBelud,train,2
S0405,KotaBelud,validate,-1
S0406,KotaBelud,train,2
S0407,KotaBelud,train,2
S0410,KotaBelud,train,2
S0411,Beluran,train,4
S0412,Beluran,train,4
S0413,KotaBelud,train,2
S0414,LahadDatu,train,1
S0416,Tuaran,train,4
S0417,Tuaran,train,4
S0418,Tuaran,train,4
S0419,KotaBelud,train,2
S0420,KotaBelud,train,2
S0421,Tuaran,train,4
S0422,Tuaran,validate,-1
S0423,Tuaran,validate,-1
S0424,Tuaran,validate,-1
S0428,KotaBelud,validate,-1
S0429,LahadDatu,train,1
S0430,Keningau,train,1
S0432,Tenom,train,3
S0433,Tenom,train,3
S0434,Tenom,train,3
S0443,Tenom,validate,-1
S0444,Sipitang,validate,-1
S0445,Nabawan,validate,-1
S0449,LahadDatu,train,1
S0450,Kinabatangan,train,1
S0453,Pitas,train,4
S0455,Pitas,train,4
S0456,Pitas,train,4
S0459,Nabawan,validate,-1
S0460,Keningau,validate,-1
S0462,Tongod,validate,-1
S0463,Tongod,validate,-1
S0464,Tongod,train,3
S0465,Beluran,train,4
S0466,Beluran,train,4
S0470,Tuaran,train,4
S0471,Sandakan,train,2
S0472,Tambunan,train,3
S0474,Nabawan,validate,-1
S0475,Nabawan,validate,-1
S0476,Nabawan,validate,-1
S0477,Nabawan,validate,-1
S0487,Nabawan,validate,-1
S0488,Nabawan,validate,-1
S0490,Nabawan,validate,-1
S0492,Nabawan,validate,-1
S0493,Nabawan,validate,-1
S0495,Nabawan,validate,-1
S0496,Nabawan,validate,-1
S0497,Nabawan,validate,-1
S0499,Nabawan,validate,-1
S0500,Nabawan,train,4
S0501,Nabawan,train,4
S0503,Nabawan,train,4
S0504,Nabawan,train,4
S0505,Nabawan,validate,-1
S0506,Nabawan,train,4
S0507,Nabawan,train,4
S0508,Nabawan,train,4
S0509,Nabawan,validate,-1
S0510,Nabawan,validate,-1
S0511,Nabawan,train,4
S0512,Nabawan,validate,-1
S0513,Nabawan,validate,-1
S0515,Nabawan,train,4
S0516,Nabawan,train,4
S0533,Nabawan,validate,-1
S0539,Nabawan,validate,-1
S0540,Nabawan,validate,-1
S0544,Nabawan,validate,-1
S0546,Nabawan,validate,-1
S0547,Nabawan,validate,-1
S0550,Nabawan,train,4
S0551,Nabawan,validate,-1
S0552,Nabawan,validate,-1
S0553,Nabawan,validate,-1
S0554,Nabawan,validate,-1
S0555,Nabawan,validate,-1
S0556,Nabawan,validate,-1
S0558,Nabawan,validate,-1
S0559,Nabawan,validate,-1
S0560,Nabawan,validate,-1
S0561,Nabawan,validate,-1
S0562,Nabawan,validate,-1
S0563,Nabawan,validate,-1
S0564,Nabawan,validate,-1
S0565,Nabawan,validate,-1
S0566,Nabawan,validate,-1
S0567,Nabawan,validate,-1
S0569,Nabawan,validate,-1
S0571,Nabawan,validate,-1
S0573,Nabawan,validate,-1
S0576,Nabawan,validate,-1
S0587,Keningau,validate,-1
S0590,Keningau,validate,-1
S0592,Keningau,validate,-1
S0595,Keningau,train,1
S0596,Keningau,train,1
S0597,Keningau,train,1
S0599,Keningau,validate,-1
S0602,Keningau,train,1
S0603,Keningau,validate,-1
S0605,Keningau,validate,-1
S0607,Keningau,validate,-1
S0608,Keningau,validate,-1
S0610,Keningau,validate,-1
S0611,Tongod,validate,-1
S0612,Tongod,validate,-1
S0614,Tongod,validate,-1
S0615,Tongod,validate,-1
S0617,Tongod,validate,-1
S0618,Keningau,validate,-1
S0620,Tongod,validate,-1
S0623,Keningau,train,1
S0624,Keningau,validate,-1
S0627,Keningau,train,1
S0628,Keningau,train,1
S0629,Keningau,train,1
S0630,Keningau,validate,-1
S0631,Keningau,train,1
S0632,Keningau,train,1
S0633,Keningau,train,1
S0634,Keningau,train,1
S0635,Keningau,train,1
S0636,Keningau,validate,-1
S0637,Keningau,train,1
S0638,Keningau,train,1
S0639,Keningau,train,1
S0640,Keningau,train,1
S0643,Keningau,train,1
S0644,Keningau,train,1
S0645,Keningau,validate,-1
S0646,Keningau,validate,-1
S0648,Keningau,train,1
S0650,Keningau,validate,-1
S0651,Keningau,train,1
S0652,Keningau,train,1
S0653,Keningau,train,1
S0654,Keningau,train,1
S0655,Keningau,train,1
S0656,Keningau,train,1
S0657,Keningau,train,1
S0658,Keningau,train,1
S0659,Keningau,train,1
S0660,Keningau,train,1
S0661,Keningau,train,1
S0662,Keningau,train,1
S0663,Keningau,train,1
S0664,Keningau,train,1
S0665,Keningau,train,1
S0666,Keningau,train,1
S0667,Keningau,train,1
S0668,Keningau,train,1
S0669,Keningau,train,1
S0670,Keningau,train,1
S0671,Keningau,train,1
S0672,Keningau,train,1
S0673,Keningau,train,1
S0674,Keningau,train,1
S0675,Keningau,train,1
S0676,Keningau,train,1
S0677,Keningau,train,1
S0678,Keningau,train,1
S0679,Keningau,train,1
S0680,Keningau,train,1
S0681,Keningau,train,1
S0682,Keningau,train,1
S0683,Keningau,train,1
S0684,Keningau,train,1
S0685,Keningau,train,1
S0686,Keningau,train,1
S0687,Keningau,train,1
S0688,Keningau,train,1
S0689,Keningau,train,1
S0690,Keningau,train,1
S0693,Keningau,train,1
S0696,Keningau,validate,-1
S0697,Keningau,train,1
S0699,Keningau,train,1
S0700,Keningau,validate,-1
S0701,Keningau,train,1
S0702,Keningau,validate,-1
S0703,Keningau,validate,-1
S0704,Keningau,train,1
S0705,Keningau,train,1
S0706,Keningau,train,1
S0707,Keningau,validate,-1
S0708,Keningau,validate,-1
S0709,Keningau,train,1
S0710,Keningau,train,1
S0712,Keningau,validate,-1
S0713,Keningau,train,1
S0714,Keningau,validate,-1
S0715,Keningau,validate,-1
S0716,Keningau,train,1
S0717,Keningau,train,1
S0719,Keningau,validate,-1
S0720,Keningau,train,1
S0721,Keningau,train,1
S0723,Keningau,train,1
S0724,Keningau,train,1
S0725,Keningau,validate,-1
S0726,Keningau,train,1
S0732,Keningau,validate,-1
S0733,Keningau,train,1
S0734,Keningau,train,1
S0735,Keningau,train,1
S0736,Keningau,train,1
S0740,Keningau,validate,-1
S0742,Keningau,train,1
S0743,Keningau,train,1
S0744,Keningau,train,1
S0746,Keningau,validate,-1
S0747,Keningau,validate,-1
S0748,Keningau,validate,-1
S0750,Keningau,train,1
S0751,Keningau,train,1
S0752,Keningau,validate,-1
S0753,Keningau,train,1
S0754,Keningau,train,1
S0755,Keningau,train,1
S0756,Keningau,train,1
S0757,Keningau,train,1
S0758,Keningau,train,1
S0759,Keningau,train,1
S0760,Keningau,train,1
S0761,Keningau,train,1
S0762,Keningau,train,1
S0763,Keningau,train,1
S0764,Keningau,train,1
