settlement_id,name,district,lon,lat,elevation_m,observed_speed,predicted_speed,prediction_std,prediction_lower,prediction_upper,top_factor_1,top_factor_2,top_factor_3,top_factor_1_value,top_factor_2_value,top_factor_3_value,speed_source,model_version,model_run_date,cv_mae,cv_r2,pop_2km,n_schools_3km,n_clinics_3km,straddles,decisiveness,measurement_priority,measurement_priority_reason
S0593,Binakaan,Keningau,116.3432834,5.117645,376.0,,25.739999771118164,6.5,19.239999771118164,32.2400016784668,pop_2km,backhaul_km,rwi,-0.4516,-0.3474,0.1202,modelled,A_noterrain_v1,2026-08-07,34.06,0.33,574,0,0,True,0.578291826722464,0.918,est 25.7 ±6.5 Mbps (19.2–32.2) · crosses the 21 Mbps line · 574 people within 2km
S0604,Bangawong,Keningau,116.3290819,5.0815603,359.0,,23.0,3.670000076293945,19.32999992370605,26.670000076293945,pop_2km,backhaul_km,n_schools_3km,-0.3968,-0.273,-0.0513,modelled,A_noterrain_v1,2026-08-07,34.06,0.33,435,0,0,True,0.647266318679267,0.912,est 23.0 ±3.7 Mbps (19.3–26.7) · crosses the 21 Mbps line · 435 people within 2km
S0409,Kampung Baru-Baru,Tuaran,116.2939116,6.3040075,8.0,,31.030000686645508,11.109999656677246,19.90999984741211,42.13999938964844,pop_2km,backhaul_km,n_schools_3km,-0.2619,-0.1296,-0.0844,modelled,A_noterrain_v1,2026-08-07,34.06,0.33,550,0,0,True,0.525543967655915,0.908,est 31.0 ±11.1 Mbps (19.9–42.1) · crosses the 21 Mbps line · 550 people within 2km
S0600,Namadan Baru,Keningau,116.2055431,5.1331074,386.0,,23.049999237060547,4.46999979019165,18.56999969482422,27.520000457763672,pop_2km,backhaul_km,n_schools_3km,-0.5651,-0.2217,-0.0712,modelled,A_noterrain_v1,2026-08-07,34.06,0.33,213,0,0,True,0.6855828921918562,0.895,est 23.0 ±4.5 Mbps (18.6–27.5) · crosses the 21 Mbps line · 213 people within 2km
S1298,Katubu,Tenom,115.9691419,4.8675052,516.0,,17.079999923706055,6.110000133514404,10.970000267028809,23.190000534057617,pop_2km,backhaul_km,rwi,-0.5782,-0.2817,-0.1475,modelled,A_noterrain_v1,2026-08-07,34.06,0.33,194,0,0,True,0.6091724831211297,0.885,est 17.1 ±6.1 Mbps (11.0–23.2) · crosses the 21 Mbps line · 194 people within 2km
S1107,Tiga Tarok,Pitas,117.0731101,6.9803126,7.0,,38.810001373291016,18.96999931335449,19.84000015258789,57.77000045776367,pop_2km,seasonal_water_px,n_schools_3km,-0.2674,-0.2025,-0.0787,modelled,A_noterrain_v1,2026-08-07,34.06,0.33,245,0,0,True,0.45717767059317327,0.878,est 38.8 ±19.0 Mbps (19.8–57.8) · crosses the 21 Mbps line · 245 people within 2km
S0518,Kampung Pamunterian,Nabawan,116.4295071,4.9565949,453.0,,22.61000061035156,6.019999980926514,16.59000015258789,28.6200008392334,pop_2km,backhaul_km,place,-0.6338,-0.2244,0.2207,modelled,A_noterrain_v1,2026-08-07,34.06,0.33,93,0,0,True,0.7889907620463403,0.876,est 22.6 ±6.0 Mbps (16.6–28.6) · crosses the 21 Mbps line · 93 people within 2km
S0123,Dolamos,Beluran,117.3361572,6.3082139,26.0,,23.32999992370605,7.300000190734863,16.030000686645508,30.6299991607666,pop_2km,n_schools_3km,rwi,-0.5754,-0.0603,-0.0506,modelled,A_noterrain_v1,2026-08-07,34.06,0.33,99,0,0,True,0.7580477781914001,0.873,est 23.3 ±7.3 Mbps (16.0–30.6) · crosses the 21 Mbps line · 99 people within 2km
S1258,Ulu Patian,Tenom,115.9701832,4.8889332,627.0,,22.40999984741211,7.159999847412109,15.239999771118164,29.56999969482422,pop_2km,backhaul_km,rwi,-0.7135,-0.1825,0.1602,modelled,A_noterrain_v1,2026-08-07,34.06,0.33,86,0,0,True,0.8354725907092311,0.87,est 22.4 ±7.2 Mbps (15.2–29.6) · crosses the 21 Mbps line · 86 people within 2km
S0722,Kaliwot,Keningau,116.1025982,5.2344101,424.0,,25.690000534057617,10.989999771118164,14.699999809265137,36.68000030517578,pop_2km,rwi,backhaul_km,-0.8217,-0.1658,0.0619,modelled,A_noterrain_v1,2026-08-07,34.06,0.33,88,0,0,True,0.7008928289045057,0.862,est 25.7 ±11.0 Mbps (14.7–36.7) · crosses the 21 Mbps line · 88 people within 2km
