district,stop_order,settlement_id,name,lat,lon,predicted_speed,prediction_std,pop_2km,route_km_district
Keningau,1,S0593,Binakaan,5.117645,116.3432834,25.739999771118164,6.5,574,35.2
Keningau,2,S0604,Bangawong,5.0815603,116.3290819,23.0,3.670000076293945,435,35.2
Keningau,3,S0600,Namadan Baru,5.1331074,116.2055431,23.049999237060547,4.46999979019165,213,35.2
Keningau,4,S0722,Kaliwot,5.2344101,116.1025982,25.690000534057617,10.989999771118164,88,35.2
Tuaran,1,S0409,Kampung Baru-Baru,6.3040075,116.2939116,31.030000686645508,11.109999656677246,550,45.6
Tuaran,2,S0299,Kampung Paka Kiulu,5.994343,116.3930816,26.649999618530277,6.960000038146973,22,45.6
Tuaran,3,S0425,Kampung Kotunuan Lama,5.9529605,116.4677881,19.59000015258789,4.78000020980835,74,45.6
Tambunan,1,S0821,Kitoring,5.5739764,116.3436675,19.56999969482422,9.779999732971191,23,1.6
Tambunan,2,S0812,Monsok Tengah,5.5700501,116.358018,33.27000045776367,13.670000076293944,23,1.6
Tenom,1,S1298,Katubu,4.8675052,115.9691419,17.079999923706055,6.110000133514404,194,2.4
Tenom,2,S1258,Ulu Patian,4.8889332,115.9701832,22.40999984741211,7.159999847412109,86,2.4
Beluran,1,S0123,Dolamos,6.3082139,117.3361572,23.32999992370605,7.300000190734863,99,0.0
Nabawan,1,S0518,Kampung Pamunterian,4.9565949,116.4295071,22.61000061035156,6.019999980926514,93,0.0
Pitas,1,S1107,Tiga Tarok,6.9803126,117.0731101,38.810001373291016,18.96999931335449,245,0.0
