settlement_id,name,district,lat,lon,pop_2km,backhaul_km,elev_drop_m,only_self_3km,only_self_5km,only_self_10km,ever_lit
S0004,Telaga,Pitas,6.839631,117.0723261,1367,12.32,-3.0,1,1,1,True
S0009,Sikuati,Kudat,6.8919254,116.7130317,11259,15.1,3.0,1,1,1,True
S0010,Nangka,Kudat,6.7891331,116.7951724,1394,11.49,-11.0,1,1,1,True
S0011,Bangau,Kudat,6.9552111,116.7259494,981,15.85,5.0,1,1,1,True
S0012,Kampung Gumandang,Kudat,6.9675791,116.7894383,815,11.55,12.0,1,1,1,False
S0015,Langkon,KotaMarudu,6.5323956,116.7030749,1151,7.69,-1.0,1,1,1,True
S0017,Kampung Tanjung Batu Laut,KotaMarudu,6.5872942,116.8545206,542,6.3,-3.0,1,1,1,True
S0022,Kampung Marimbau,Kudat,6.7316162,116.6511044,1594,8.1,-15.0,1,1,1,False
S0024,Kampung Tenghilan,Tuaran,6.2583153,116.3176665,2432,2.03,2.0,1,1,1,True
S0026,Kg. Bautu,Beluran,5.6587226,117.2023793,773,8.66,-39.0,1,1,1,True
S0033,Talas,KotaMarudu,6.4764024,116.8436982,1538,6.09,4.0,1,1,0,True
S0035,Kampung Sualog,Beluran,5.8825565,117.3784228,706,20.14,5.0,1,1,1,True
S0036,Kampung Kukut,KotaBelud,6.5248946,116.5506256,578,23.56,37.0,1,1,1,True
S0038,Kampung K. Rampayan,KotaBelud,6.5228172,116.5023056,1860,20.87,-6.0,0,0,0,True
S0040,Kg. Tamau,KotaBelud,6.4203023,116.415399,2863,7.99,-6.0,1,1,1,True
S0041,Kampung Keguraan,KotaBelud,6.4565219,116.5024247,1075,14.36,-8.0,0,0,0,True
S0042,Pauh,Keningau,5.3132388,116.4101726,683,23.22,40.0,0,0,0,False
S0044,Kampung Delayan,Keningau,5.2313137,116.3580845,1149,12.46,19.0,0,0,0,False
S0048,Kobuh Baru,Ranau,5.9303108,116.7709674,1977,11.81,-163.0,0,0,0,True
S0049,Simpang 4 Kasabug,Keningau,5.2732968,116.3747193,861,17.34,20.0,0,0,0,False
S0053,Senagang,Keningau,5.2908601,116.0344046,986,13.82,22.0,0,0,0,True
S0057,Kampung Kuangoh,Keningau,5.4228974,116.209765,2855,11.97,55.0,0,0,0,True
S0060,Merungin,Ranau,6.1135252,116.8611805,846,28.12,-375.0,0,0,0,True
S0062,Kampung Apin Apin,Keningau,5.4587899,116.2736526,8158,19.5,50.0,0,0,0,True
S0063,Kg. Tinutuan,Ranau,6.108734,116.8184033,742,24.29,-331.0,0,0,0,False
S0066,Mampisas,Tongod,5.4146548,116.5084813,1509,32.39,-137.0,1,1,1,False
S0072,Kampung Kuala,Papar,5.6381844,115.9573292,2957,10.91,3.0,1,1,1,True
S0074,Kayau,Papar,5.6803176,116.0294256,720,12.26,9.0,1,1,1,True
S0077,Kampung Matopang,Ranau,5.7908133,116.8168422,928,24.4,-337.0,0,0,0,True
S0078,Kampung Nibalayan,Ranau,5.8641269,116.5839984,692,13.28,159.0,0,0,0,False
S0080,,Tambunan,5.7636797,116.4468761,925,13.87,280.0,1,1,1,True
S0082,Kampung Tempurong,KualaPenyu,5.5420109,115.5611542,849,5.23,12.0,1,1,1,False
S0083,Kg. Kota Klias,Beaufort,5.4526327,115.6245849,989,13.05,-5.0,1,1,1,True
S0084,Kampung Binsuluk,Beaufort,5.525775,115.6926781,759,11.17,-3.0,1,1,0,True
S0085,Kampung Sawangan,KualaPenyu,5.6147787,115.6114373,896,5.38,58.0,1,1,1,True
S0086,Kampung Balibatu,Beaufort,5.3251135,115.7509543,1912,2.59,121.0,1,1,1,True
S0088,Kg.Malabau,Beaufort,5.4071403,115.6728513,2683,10.24,8.0,0,0,0,True
S0093,Kampung Ulu Kimanis,Papar,5.5693002,115.9623713,1099,12.23,16.0,1,1,1,False
S0094,Kampung Pimping,Beaufort,5.5110905,115.7525025,1020,6.9,5.0,1,1,0,True
S0099,Masapol,Sipitang,5.1071138,115.5918648,1030,0.0,,1,0,0,True
S0104,Kampung Palakat,Sipitang,5.117332,115.557134,541,4.01,-1.0,1,1,1,True
S0111,Kampung Paal,Tenom,5.0186735,115.9059101,1260,9.27,43.0,0,0,0,True
S0113,Kampung Gadong,Beaufort,5.3493525,115.6085704,1627,14.89,0.0,1,1,1,True
S0114,Sook,Keningau,5.1423979,116.289617,2119,0.0,,0,0,0,True
S0115,Kampung Laboi,Beaufort,5.2330561,115.6539176,823,5.8,21.0,1,1,0,False
S0117,Weston,Beaufort,5.2125971,115.6057549,876,0.0,,1,1,1,True
S0119,Kampung Padas Damit,Beaufort,5.3315352,115.563127,722,14.04,11.0,1,1,1,True
S0130,Balaron,Nabawan,4.7181021,116.4422487,546,24.42,132.0,1,1,1,False
S0132,Kampung Kiulu,Tuaran,6.0508758,116.2835896,1127,0.83,127.0,1,1,1,True
S0135,Kampung Wangkang,KualaPenyu,5.5142364,115.5361321,568,9.3,17.0,1,1,1,True
S0138,Surusop,Tuaran,6.2478396,116.2403592,2784,8.0,-11.0,1,0,0,True
S0149,Kampung Bangsai,KualaPenyu,5.4716727,115.5327708,2226,11.09,-20.0,1,0,0,True
S0151,Kampung Kuala Karamuak,Tongod,5.2870807,117.2104656,533,26.85,-13.0,1,1,1,False
S0159,Kampung Mempakul,KualaPenyu,5.2967088,115.3584871,2340,1.43,8.0,0,0,0,True
S0162,Sapulut,Nabawan,4.7053675,116.4807819,624,23.81,158.0,1,1,1,True
S0164,Pinangah,Tongod,5.2113004,116.8352431,1336,16.08,6.0,1,1,1,True
S0166,Kanibongan,Pitas,6.661511,117.2077305,1426,18.59,6.0,0,0,0,True
S0172,Matunggong,Kudat,6.7151333,116.7225425,909,0.0,,1,1,1,False
S0178,Kampung Betotai,Tuaran,6.2383709,116.2825212,828,6.29,-2.0,0,0,0,False
S0179,Kg. Kelawat,KotaBelud,6.3240036,116.3743229,756,6.72,68.0,0,0,0,True
S0180,Kampung Tembayang,KualaPenyu,5.3947301,115.3863577,557,7.27,-17.0,1,1,1,True
S0181,Kampung Kuala Sapi,Beluran,5.8241814,117.4379987,784,15.78,5.0,0,0,0,True
S0182,Kampung Bilit,Kinabatangan,5.4999089,118.2079604,561,39.07,19.0,1,1,1,True
S0185,Pekan Nabalu,Tuaran,6.0282512,116.4629369,657,0.0,,0,0,0,True
S0186,Kampung Kabatu,Beaufort,5.3968433,115.6876589,2300,8.26,0.0,0,0,0,True
S0187,Kampung Kabidang,Beaufort,5.4023466,115.6848433,2406,8.9,-4.0,0,0,0,True
S0188,Kampung Klias Kecil,Beaufort,5.44141,115.6382102,1010,14.62,-1.0,1,1,0,True
S0189,Kampung Melabu,Beaufort,5.4223745,115.6640257,1762,12.11,7.0,0,0,0,True
S0190,Kg. Nukahan,Beaufort,5.4619507,115.5891481,1190,11.81,-5.0,1,0,0,False
S0191,Kampung Takuli,Beaufort,5.4164768,115.6768857,2053,10.64,0.0,0,0,0,True
S0196,Kampung Sentosa,Sandakan,5.9479941,118.014302,939,16.51,3.0,0,0,0,True
S0201,Kg. Tinangol,Kudat,6.7723729,116.7038484,1786,6.69,-7.0,1,1,1,True
S0202,Kg Mengaris,Kinabatangan,5.4070377,117.9501832,1069,23.25,-27.0,0,0,0,True
S0203,Kg. Gum Gum,Sandakan,5.8933391,117.9209983,8559,22.38,-1.0,1,1,1,True
S0205,Kampung Dandulit,Sandakan,5.9696538,117.9102422,781,26.98,-4.0,1,1,1,True
S0212,Kampung Merintanam,Sipitang,5.039118,115.546489,2325,4.16,16.0,1,1,1,True
S0214,Kampung Rangalau,KotaBelud,6.3056896,116.4403454,2101,5.05,13.0,1,1,1,True
S0215,Kampung Rajunah,KotaBelud,6.283342,116.453604,2595,6.22,-44.0,0,0,0,True
S0216,Kampung Gaur,KotaBelud,6.281577,116.457519,2735,6.07,-47.0,0,0,0,True
S0219,Kg. Balung,Tawau,4.3654738,118.1039281,16957,27.77,44.0,1,1,1,True
S0223,Segaliud,Sandakan,5.7308288,117.8201327,1988,16.04,-25.0,1,1,1,True
S0230,Kg. Jaya Baru,Kinabatangan,5.5718621,117.9061674,2167,6.86,-22.0,1,1,1,True
S0233,Kg. Jaya Bakti,Sandakan,5.7681783,117.7092373,2147,21.94,10.0,1,1,1,True
S0239,Saliwangan,Beaufort,5.272817,115.8016325,739,10.5,15.0,1,1,1,False
S0240,Kampung Sambah,Tuaran,6.2443677,116.2902122,623,5.28,0.0,1,1,1,False
S0242,Kampung Marak Parak,KotaMarudu,6.3120478,116.7332936,1729,20.6,131.0,0,0,0,True
S0243,Kampung Sunsui,KotaMarudu,6.3871847,116.7747033,1115,12.09,55.0,1,1,1,False
S0256,Kampung Kayul,KualaPenyu,5.4994293,115.5463513,2417,9.68,11.0,0,0,0,True
S0257,Menumbok,KualaPenyu,5.3040795,115.3690652,2184,0.0,,0,0,0,True
S0261,Kg Mengaris2,Kinabatangan,5.4061473,117.9516956,865,23.42,-25.0,0,0,0,True
S0262,Kampung Batu Puteh.,Kinabatangan,5.4200674,117.9418331,509,21.54,-25.0,1,1,1,True
S0273,Sungai Rakit,KotaMarudu,6.4544107,116.8012118,1816,6.29,5.0,0,0,0,True
S0274,Rampayan Ulu,KotaBelud,6.5215802,116.5176299,2111,21.45,-4.0,0,0,0,True
S0275,,KotaBelud,6.5807904,116.5497762,1021,24.23,-16.0,1,1,1,True
S0279,,Kudat,6.8828641,116.6805184,1832,18.65,7.0,0,0,0,True
S0280,,Kudat,6.8728835,116.6760968,653,18.28,-16.0,0,0,0,True
S0281,,KotaBelud,6.3847972,116.3463728,1188,9.96,-9.0,1,1,1,True
S0284,Togop Laut,Ranau,6.1615009,116.7975091,871,27.53,-320.0,1,1,1,False
S0307,Kampung Sumbilingan,KotaBelud,6.3129372,116.3458603,1986,6.24,0.0,1,0,0,True
S0308,Batu Payung,Tawau,4.228356,117.992711,947,12.03,114.0,1,1,1,True
S0315,Kampung Tambulaung,KotaBelud,6.2285288,116.4551222,2808,0.59,-2.0,0,0,0,True
S0316,Kampung Taginambur,KotaBelud,6.2251585,116.4491033,2687,0.28,2.0,0,0,0,True
S0318,Kampung Soronsob,KotaBelud,6.2186365,116.4523971,2345,1.03,7.0,0,0,0,True
S0319,Kampung Tamalang,KotaBelud,6.2360746,116.4494384,2923,0.95,12.0,0,0,0,True
S0320,Kampung Bahab,KotaBelud,6.2137719,116.4515128,2249,1.54,35.0,0,0,0,True
S0321,Kampung Bayayat,KotaBelud,6.2065818,116.4454789,1459,2.38,74.0,1,1,1,True
S0322,Kampung Sogoh,KotaBelud,6.1992736,116.4466573,1206,3.16,66.0,0,0,0,True
S0333,Kampung Tambatuon,KotaBelud,6.1239943,116.4532593,950,10.7,-781.0,1,1,1,False
