radius_km,mast_id,mast_lat,mast_lon,s_id,s_lat,s_lon,dist_km,chosen_by_distance
3,S0033,6.4764024,116.8436982,S1190,6.4860679,116.8662016,2.709,1
3,S0038,6.5228172,116.5023056,S0274,6.5215802,116.5176299,1.699,1
3,S0041,6.4565219,116.5024247,S0364,6.4821376,116.4939753,2.997,1
3,S0041,6.4565219,116.5024247,S0365,6.4635833,116.4878031,1.796,1
3,S0041,6.4565219,116.5024247,S0394,6.4442068,116.5127843,1.785,1
3,S0042,5.3132388,116.4101726,S0629,5.3214327,116.4157143,1.098,1
3,S0042,5.3132388,116.4101726,S0631,5.3030662,116.3959753,1.937,1
3,S0044,5.2313137,116.3580845,S0693,5.2181166,116.344786,2.079,1
3,S0044,5.2313137,116.3580845,S0697,5.2419511,116.3674556,1.573,1
3,S0044,5.2313137,116.3580845,S0700,5.2314063,116.3720737,1.549,1
3,S0044,5.2313137,116.3580845,S0702,5.2312481,116.358671,0.065,1
3,S0044,5.2313137,116.3580845,S0703,5.2413062,116.3539969,1.2,1
3,S0048,5.9303108,116.7709674,S0872,5.9384793,116.7797184,1.327,0
3,S0048,5.9303108,116.7709674,S0886,5.9452917,116.7695968,1.673,0
3,S0049,5.2732968,116.3747193,S0623,5.292031,116.3884042,2.576,0
3,S0049,5.2732968,116.3747193,S0632,5.2832779,116.379809,1.245,0
3,S0049,5.2732968,116.3747193,S0634,5.2882954,116.3810541,1.809,0
3,S0049,5.2732968,116.3747193,S0638,5.2601226,116.3734017,1.472,0
3,S0049,5.2732968,116.3747193,S0639,5.2593984,116.3756262,1.549,0
3,S0053,5.2908601,116.0344046,S0707,5.3012077,116.0350168,1.153,0
3,S0053,5.2908601,116.0344046,S0746,5.3050012,116.0470604,2.106,0
3,S0053,5.2908601,116.0344046,S0752,5.2886435,116.0349977,0.255,0
3,S0053,5.2908601,116.0344046,S0718,5.3025712,116.0534426,2.478,0
3,S0057,5.4228974,116.209765,S0679,5.4190511,116.2334792,2.66,1
3,S0057,5.4228974,116.209765,S0688,5.4307567,116.2278076,2.18,1
3,S0057,5.4228974,116.209765,S0689,5.4176834,116.227837,2.083,1
3,S0057,5.4228974,116.209765,S0758,5.4385565,116.1878393,2.987,1
3,S0057,5.4228974,116.209765,S0769,5.4328911,116.1968184,1.813,1
3,S0057,5.4228974,116.209765,S1076,5.4127509,116.2331743,2.826,1
3,S0060,6.1135252,116.8611805,S0915,6.126042,116.863994,1.426,1
3,S0060,6.1135252,116.8611805,S0931,6.1160327,116.863674,0.392,1
3,S0060,6.1135252,116.8611805,S0944,6.1141163,116.8612539,0.066,1
3,S0062,5.4587899,116.2736526,S0664,5.4542071,116.2578834,1.818,1
3,S0062,5.4587899,116.2736526,S0667,5.4797716,116.2752866,2.34,1
3,S0062,5.4587899,116.2736526,S0668,5.4489856,116.2702798,1.152,1
3,S0062,5.4587899,116.2736526,S0670,5.4728503,116.2654893,1.806,1
3,S0062,5.4587899,116.2736526,S0674,5.4455835,116.2688726,1.561,1
3,S0062,5.4587899,116.2736526,S0675,5.4585487,116.2659994,0.848,1
3,S0062,5.4587899,116.2736526,S0676,5.4464732,116.267259,1.542,1
3,S0062,5.4587899,116.2736526,S0677,5.4816186,116.2690947,2.588,1
3,S0062,5.4587899,116.2736526,S0678,5.4582441,116.2733047,0.072,1
3,S0062,5.4587899,116.2736526,S0680,5.4623131,116.2811304,0.916,1
3,S0062,5.4587899,116.2736526,S0681,5.4719211,116.2803596,1.638,1
3,S0062,5.4587899,116.2736526,S0683,5.4676301,116.2678351,1.175,1
3,S0062,5.4587899,116.2736526,S0684,5.455013,116.2639664,1.151,1
3,S0062,5.4587899,116.2736526,S0685,5.451431,116.2568816,2.029,1
3,S0062,5.4587899,116.2736526,S0687,5.4457484,116.2570889,2.338,1
3,S0063,6.108734,116.8184033,S0928,6.1095094,116.8182326,0.088,1
3,S0063,6.108734,116.8184033,S0941,6.119726,116.7986317,2.504,1
3,S0066,5.4146548,116.5084813,S0614,5.4257658,116.5207264,1.834,1
3,S0066,5.4146548,116.5084813,S0618,5.4025431,116.4863082,2.8,1
3,S0077,5.7908133,116.8168422,S0856,5.7919059,116.811607,0.592,1
3,S0077,5.7908133,116.8168422,S0862,5.797142,116.8189854,0.743,1
3,S0077,5.7908133,116.8168422,S0870,5.788846,116.8179208,0.249,1
3,S0077,5.7908133,116.8168422,S0875,5.7984346,116.8143039,0.893,1
3,S0078,5.8641269,116.5839984,S0988,5.8670441,116.5672761,1.878,1
3,S0078,5.8641269,116.5839984,S1008,5.864768,116.578317,0.632,1
3,S0078,5.8641269,116.5839984,S1020,5.8730698,116.5840241,0.994,1
3,S0083,5.4526327,115.6245849,S0188,5.44141,115.6382102,1.958,1
3,S0088,5.4071403,115.6728513,S0186,5.3968433,115.6876589,2.0,1
3,S0088,5.4071403,115.6728513,S0187,5.4023466,115.6848433,1.431,1
3,S0088,5.4071403,115.6728513,S0189,5.4223745,115.6640257,1.956,1
3,S0088,5.4071403,115.6728513,S0191,5.4164768,115.6768857,1.13,1
3,S0111,5.0186735,115.9059101,S1294,5.009984,115.9218609,2.014,0
3,S0114,5.1423979,116.289617,S1074,5.1381847,116.2829209,0.877,1
3,S0130,4.7181021,116.4422487,S0553,4.7138076,116.4598441,2.008,0
3,S0130,4.7181021,116.4422487,S0555,4.7247292,116.4472719,0.924,0
3,S0130,4.7181021,116.4422487,S0556,4.7125431,116.4669454,2.806,0
3,S0130,4.7181021,116.4422487,S0559,4.7157558,116.4513129,1.038,0
3,S0132,6.0508758,116.2835896,S1386,6.0582824,116.282368,0.835,1
3,S0135,5.5142364,115.5361321,S0256,5.4994293,115.5463513,1.998,1
3,S0159,5.2967088,115.3584871,S0257,5.3040795,115.3690652,1.429,1
3,S0162,4.7053675,116.4807819,S0533,4.7154608,116.47698,1.199,0
3,S0162,4.7053675,116.4807819,S0553,4.7138076,116.4598441,2.503,0
3,S0162,4.7053675,116.4807819,S0556,4.7125431,116.4669454,1.729,0
3,S0166,6.661511,117.2077305,S0456,6.6648177,117.2073658,0.37,1
3,S0178,6.2383709,116.2825212,S0240,6.2443677,116.2902122,1.08,1
3,S0179,6.3240036,116.3743229,S0360,6.3219835,116.3868016,1.397,1
3,S0179,6.3240036,116.3743229,S0404,6.3239734,116.3515484,2.517,1
3,S0181,5.8241814,117.4379987,S0466,5.8344594,117.4367943,1.151,1
3,S0185,6.0282512,116.4629369,S0417,6.0279292,116.4434492,2.155,1
