settlement_id,name,lon,lat,district,division,pop_2km,n_schools_3km,n_clinics_3km,rwi,elevation_m,seasonal_water_px,flood_prone,place,dl_mbps,split,evidence_tier_REFERENCE_ONLY
S0000,Kota Kinabalu,116.0728988,5.9780066,KotaKinabalu,West Coast,43163,15,14,1.0655,11.0,241,True,city,210.1005,train,measured
S0004,Telaga,117.0723261,6.839631,Pitas,Kudat,1367,0,0,0.1205,7.0,75,True,village,47.646,validate,low_evidence
S0007,Mangkubau Laut,117.1307734,6.976774,Pitas,Kudat,0,0,0,-0.55,19.0,14,True,village,3.619,validate,low_evidence
S0009,Sikuati,116.7130317,6.8919254,Kudat,Kudat,11259,0,0,0.27266666666666667,13.0,14,True,village,31.381,train,measured
S0010,Nangka,116.7951724,6.7891331,Kudat,Kudat,1394,0,0,0.3895,19.0,10,True,village,37.869,train,measured
S0011,Bangau,116.7259494,6.9552111,Kudat,Kudat,981,0,0,-0.1215,15.0,6,True,village,29.5945,train,measured
S0012,Kampung Gumandang,116.7894383,6.9675791,Kudat,Kudat,815,0,0,-0.34975,22.0,0,False,hamlet,36.368,train,measured
S0015,Langkon,116.7030749,6.5323956,KotaMarudu,Kudat,1151,0,0,0.1195,12.0,0,False,village,25.863,train,measured
S0016,Kampung Bintasan,116.7052836,6.5708761,KotaMarudu,Kudat,5296,1,0,0.3323333333333333,29.0,0,False,village,32.534,train,measured
S0017,Kampung Tanjung Batu Laut,116.8545206,6.5872942,KotaMarudu,Kudat,542,0,0,0.13,8.0,54,True,village,83.571,train,measured
S0018,Senaija,117.0437707,6.7412585,Pitas,Kudat,3974,0,0,0.289,0.0,44,True,village,38.971,train,measured
S0019,Dandong,117.0170646,6.6590911,Pitas,Kudat,420,0,0,-0.5203333333333333,11.0,83,True,village,26.4225,train,measured
S0020,Pingan Pingan,116.936608,6.665972,Pitas,Kudat,5724,0,0,-0.05466666666666666,9.0,83,True,village,37.223,train,measured
S0021,Bukah,116.7630174,6.6659879,Kudat,Kudat,370,0,0,-0.18475,18.0,50,True,village,9.176,validate,low_evidence
S0022,Kampung Marimbau,116.6511044,6.7316162,Kudat,Kudat,1594,0,0,-0.22266666666666668,15.0,46,True,village,30.4765,validate,low_evidence
S0023,Kg. Maliau,117.1513112,5.6223063,Beluran,Sandakan,3905,1,1,0.607,118.0,77,True,village,44.5995,train,measured
S0024,Kampung Tenghilan,116.3176665,6.2583153,Tuaran,West Coast,2432,3,0,-0.16166666666666665,13.0,0,False,village,114.8565,train,measured
