settlement_id,ever_lit,ntl_max,ntl_2025,ntl_slope,ntl_p,light_trend
S0000,True,116.375,110.789,0.9366,0.4354,flat
S0001,False,0.0,,,,dark
S0002,False,0.0,,,,dark
S0003,False,0.489,,,,dark
S0004,True,1.727,0.779,-0.0308,0.2044,flat
S0005,False,0.456,,,,dark
S0006,True,2.514,1.492,-0.0348,0.2519,flat
S0007,False,0.0,,,,dark
S0008,True,0.562,0.0,0.0,0.7683,flat
S0009,True,7.386,5.122,0.1193,0.0216,brightening
S0010,True,6.698,2.586,-0.4845,0.0001,dimming
S0011,True,1.097,0.779,0.0742,0.0043,brightening
S0012,False,0.0,,,,dark
S0013,False,0.0,,,,dark
S0014,True,1.005,0.767,0.0,0.0392,flat
S0015,True,6.866,3.116,0.0144,1.0,flat
S0016,True,4.876,4.093,0.1566,0.0101,brightening
S0017,True,4.48,1.257,0.1221,0.2963,flat
S0018,True,1.954,0.891,-0.0452,0.4354,flat
S0019,True,0.543,0.543,0.0,0.1088,flat
S0020,True,2.907,1.783,-0.0022,0.9524,flat
S0021,True,0.8,0.8,0.0325,0.035,brightening
S0022,False,0.344,,,,dark
S0023,True,1.483,1.483,0.0686,0.0016,brightening
S0024,True,1.431,1.431,0.0912,0.0,brightening
S0025,False,0.0,,,,dark
S0026,True,0.965,0.947,0.026,0.1246,flat
S0027,False,0.0,,,,dark
S0028,False,0.0,,,,dark
S0029,False,0.0,,,,dark
S0030,False,0.0,,,,dark
S0031,False,0.0,,,,dark
S0032,False,0.0,,,,dark
S0033,True,1.136,1.092,0.0,0.0924,flat
S0034,True,2.391,2.391,0.0962,0.0101,brightening
S0035,True,0.623,0.0,0.0,0.593,flat
S0036,True,2.026,0.846,0.0032,0.8577,flat
S0037,True,0.539,0.0,0.0,0.593,flat
S0038,True,4.071,2.267,0.1761,0.0101,brightening
S0039,True,0.862,0.0,0.0,1.0,flat
S0040,True,1.577,1.063,0.0223,0.3062,flat
S0041,True,0.795,0.712,0.0581,0.0316,brightening
S0042,False,0.284,,,,dark
S0043,False,0.0,,,,dark
S0044,False,0.0,,,,dark
S0045,False,0.0,,,,dark
S0046,False,0.0,,,,dark
S0047,False,0.0,,,,dark
S0048,True,0.79,0.517,0.0428,0.0012,brightening
S0049,False,0.0,,,,dark
S0050,True,0.79,0.382,0.0,0.1324,flat
S0051,True,3.291,3.112,0.1786,0.0,brightening
S0052,True,0.572,0.0,0.0,0.593,flat
S0053,True,0.924,0.924,0.0765,0.002,brightening
S0054,False,0.0,,,,dark
S0055,True,0.71,0.0,-0.0384,0.0233,dimming
S0056,False,0.0,,,,dark
S0057,True,1.156,0.922,0.0999,0.0041,brightening
S0058,False,0.0,,,,dark
S0059,True,0.832,0.0,-0.0455,0.0233,dimming
S0060,True,0.791,0.791,0.0,0.1088,flat
S0061,False,0.0,,,,dark
S0062,True,2.02,1.712,0.0636,0.0422,brightening
S0063,False,0.0,,,,dark
S0064,True,0.911,0.727,0.0,0.0392,flat
S0065,False,0.0,,,,dark
S0066,False,0.0,,,,dark
S0067,True,0.62,0.518,0.0046,0.6754,flat
S0068,False,0.0,,,,dark
S0069,True,22.532,20.073,0.7794,0.0009,brightening
S0070,True,4.786,4.786,0.1152,0.0027,brightening
S0071,False,0.0,,,,dark
S0072,True,2.376,2.108,0.0164,0.4354,flat
S0073,True,36.3,36.3,2.4828,0.0,brightening
S0074,True,0.717,0.717,0.0,0.0392,flat
S0075,False,0.0,,,,dark
S0076,False,0.0,,,,dark
S0077,True,0.914,0.847,0.0373,0.1379,flat
S0078,False,0.0,,,,dark
S0079,True,3.133,2.175,-0.056,0.1,flat
S0080,True,1.521,0.957,0.0835,0.0216,brightening
S0081,False,0.453,,,,dark
S0082,False,0.481,,,,dark
S0083,True,2.49,1.579,-0.0038,0.9524,flat
S0084,True,2.134,2.134,0.0704,0.0043,brightening
S0085,True,1.444,0.0,0.0,0.9335,flat
S0086,True,4.489,4.131,0.1325,0.0422,brightening
S0087,True,2.306,1.393,0.0899,0.0027,brightening
S0088,True,1.773,1.731,0.0834,0.0001,brightening
S0089,True,2.825,2.488,0.0584,0.0216,brightening
S0090,False,0.385,,,,dark
S0091,True,7.529,4.137,-0.2004,0.0305,dimming
S0092,True,9.348,2.842,-0.0994,0.8577,flat
S0093,False,0.5,,,,dark
S0094,True,1.034,1.034,0.0416,0.0067,brightening
S0095,True,12.894,11.243,0.3003,0.0422,brightening
S0096,True,6.177,2.387,0.1553,0.4354,flat
S0097,False,0.0,,,,dark
S0098,True,9.958,4.723,-0.1332,0.5098,flat
S0099,True,4.17,4.074,0.0546,0.0763,flat
S0100,False,0.0,,,,dark
S0101,True,3.873,3.247,0.0007,1.0,flat
S0102,False,0.0,,,,dark
S0103,True,0.661,0.0,0.0,0.1088,flat
S0104,True,3.097,1.941,0.0326,0.1635,flat
S0105,True,1.843,1.429,0.146,0.0041,brightening
S0106,False,0.0,,,,dark
S0107,True,0.545,0.0,0.0,0.593,flat
S0108,False,0.0,,,,dark
S0109,True,0.965,0.965,0.0861,0.001,brightening
S0110,False,0.0,,,,dark
S0111,True,1.578,0.0,0.0,0.4527,flat
S0112,False,0.0,,,,dark
S0113,True,5.78,3.245,0.054,0.3674,flat
S0114,True,2.114,2.045,0.0111,0.6754,flat
S0115,False,0.0,,,,dark
S0116,True,8.495,3.075,-0.028,0.9524,flat
S0117,True,6.185,3.287,0.1228,0.0305,brightening
S0118,True,5.849,2.276,0.0151,0.765,flat
S0119,True,0.872,0.762,0.0568,0.0017,brightening
S0120,True,0.56,0.0,0.0001,0.5287,flat
S0121,False,0.0,,,,dark
S0122,False,0.0,,,,dark
S0123,False,0.0,,,,dark
S0124,False,0.0,,,,dark
S0125,False,0.0,,,,dark
S0126,True,2.7,2.7,0.2136,0.0003,brightening
S0127,False,0.0,,,,dark
S0128,False,0.0,,,,dark
S0129,False,0.0,,,,dark
S0130,False,0.0,,,,dark
S0131,True,26.804,23.872,-0.1418,0.1635,flat
S0132,True,3.991,3.991,0.0881,0.0305,brightening
S0133,False,0.0,,,,dark
S0134,True,4.986,4.986,0.2283,0.0,brightening
S0135,True,0.729,0.729,0.0481,0.0003,brightening
S0136,False,0.0,,,,dark
S0137,True,1.838,1.838,0.0669,0.0,brightening
S0138,True,9.595,5.205,0.3346,0.1,flat
S0139,True,8.784,5.085,0.0734,0.59,flat
S0140,True,28.889,28.889,0.3983,0.4354,flat
S0141,True,16.106,12.713,-0.0591,0.8577,flat
S0142,False,0.0,,,,dark
